time,DO.obs,Chl_a,fDOM,temperature,pCO2,sal,tide,Atemp,Rel_Hum,Sol_Rad,bloomstatus
6/12/2019 12:00,7.28,2.4484,18.1892,25.70112,598,32.77367387,0.82,38.3,17.8,1028.1111,0
6/12/2019 13:00,7.36,2.8652,17.91,25.92052,588,32.80297637,0.81,37.4,21.5,1047.6111,0
6/12/2019 14:00,7.49,3.3788,17.7324,25.93548,557,32.8041327,0.84,34.9,24,525.7778,0
6/12/2019 15:00,7.51,3.704,17.5396,25.90256,569,32.90240636,0.87,33.6,24.5,604.7778,0
6/12/2019 16:00,7.55,3.8576,17.196,25.89612,542,32.91671548,0.9,30.7,34.1,472.5278,0
6/12/2019 17:00,7.66,3.6536,16.8628,25.92688,547,32.92275226,0.95,28.8,41.2,373.9722,0
6/12/2019 18:00,7.59,3.3388,16.7444,25.85316,538,32.96877144,0.99,27.5,47.7,191.6389,0
6/12/2019 19:00,7.5,3.2864,16.8752,25.70624,522,32.97162543,1.01,26.6,49,42.3056,0
6/12/2019 20:00,7.37,3.2968,17,25.61328,544,32.98100298,1.06,25.3,49.7,0.7778,0
6/12/2019 21:00,7.2,2.8176,17.6188,25.64284,569,32.99414982,1.07,24.1,56.3,0,0
6/12/2019 22:00,7.27,2.8372,18.2832,25.7468,573,32.88603393,1.05,23.1,62.4,0,0
6/12/2019 23:00,7.13,3.4164,18.5924,25.79904,556,32.84180943,1.03,22.4,66,0,0
7/12/2019 0:00,7.06,3.4796,18.984,25.75808,593,32.77415085,0.99,21.1,71.8,0,0
7/12/2019 1:00,6.94,3.3652,19.2444,25.65476,589,32.76302842,0.95,20.3,76.3,0,0
7/12/2019 2:00,6.66,3.3364,19.2208,25.55948,611,32.80120558,0.92,20,80.5,0,0
7/12/2019 3:00,6.85,3.5476,19.2692,25.51504,620,32.76042128,0.9,20.2,82.7,0,0
7/12/2019 4:00,7.1,3.8124,19.368,25.51188,604,32.77815132,0.89,19.9,82.2,0,0
7/12/2019 5:00,6.99,3.4528,19.4916,25.45408,580,32.76601785,0.88,19.7,83.1,0.0278,0
7/12/2019 6:00,6.69,2.948,19.69,24.72388,593,33.09263077,0.88,19.9,81.2,40.0278,0
7/12/2019 7:00,6.85,2.9752,19.5952,24.56484,583,33.23787805,0.89,21.4,73.1,184.3611,0
7/12/2019 8:00,7.01,3.07,19.2152,25.09292,589,32.82530775,0.9,22.4,72.9,295.2222,0
7/12/2019 9:00,6.99,3.0632,19.1712,25.13988,583,32.83075721,0.89,23.6,69,489.7778,0
7/12/2019 10:00,7.01,3.0496,19.4672,25.2066,581,32.79440508,0.88,24.8,62.1,847.9444,0
7/12/2019 11:00,6.88,3.2892,19.4852,25.2962,582,32.81286443,0.89,25.9,55.9,856.1389,0
7/12/2019 12:00,7.29,3.9348,19.2344,25.44044,536,32.80079725,0.88,25.2,60.9,695.0833,0
7/12/2019 13:00,7.27,4.486,18.9556,25.55972,546,32.83477868,0.88,24.6,63.7,478.1389,0
7/12/2019 14:00,7.38,5.1464,18.7928,25.579,533,32.8399504,0.89,23.2,62.9,770.3056,0
7/12/2019 15:00,7.36,5.6368,18.756,25.53412,563,32.86189068,0.9,22.6,60.5,294.1389,0
7/12/2019 16:00,7.16,5.3292,18.8984,25.42936,546,32.8801268,0.94,21.9,67.4,319.9722,0
7/12/2019 17:00,6.99,5.1596,19.0568,25.34072,616,32.89078982,0.98,22.5,55.3,470.9722,0
7/12/2019 18:00,7.12,5.1232,19.1352,25.2852,575,32.87673349,1.03,22.1,51.7,264.8333,0
7/12/2019 19:00,7.08,5.0104,19.1788,25.23116,575,32.88886985,1.06,20.7,57.2,43.9722,0
7/12/2019 20:00,7,4.9248,19.23,25.17292,594,32.89094737,1.1,20.3,58.6,1.1389,0
7/12/2019 21:00,6.96,4.7076,19.3444,25.09988,594,32.89177926,1.13,20,60.1,0,0
7/12/2019 22:00,6.91,4.4744,19.5356,25.03904,575,32.87412296,1.1,19.7,65.3,0,0
7/12/2019 23:00,6.86,4.2884,19.6424,24.99172,607,32.84189338,1.05,17.9,81.9,0,0
